;Date;Date_excel;CSS;Fonte;Data;Data_excel;Vazao;NivelConsistencia;CSS_na_mean;CSS_na_interpolation;CSS_kalman;CSS_spline;CSS_stine;Qss
1;01/01/1984;30682;NA;;01/01/1984;30682;2941.159;2;94.96162693;68.677;68.67247457;68.677;68.677;17451.93398
2;02/01/1984;30683;NA;;02/01/1984;30683;2849.942;2;94.96162693;68.677;68.66142698;68.32875319;68.677;16910.68033
3;03/01/1984;30684;NA;;03/01/1984;30684;2777.705;2;94.96162693;68.677;68.65037938;67.98641963;68.677;16482.04816
4;04/01/1984;30685;NA;;04/01/1984;30685;2723.961;2;94.96162693;68.677;68.63933178;67.65030256;68.677;16163.14777
5;05/01/1984;30686;NA;;05/01/1984;30686;2750.786;2;94.96162693;68.677;68.62828418;67.32070522;68.677;16322.31908
6;06/01/1984;30687;NA;;06/01/1984;30687;2741.834;2;94.96162693;68.677;68.61723658;66.99793085;68.677;16269.20066
7;07/01/1984;30688;NA;;07/01/1984;30688;2652.883;2;94.96162693;68.677;68.60618899;66.68228271;68.677;15741.39276
8;08/01/1984;30689;NA;;08/01/1984;30689;2409.419;2;94.96162693;68.677;68.59514139;66.37406403;68.677;14296.75217
9;09/01/1984;30690;NA;;09/01/1984;30690;2149.718;2;94.96162693;68.677;68.58409379;66.07357806;68.677;12755.76622
10;10/01/1984;30691;NA;;10/01/1984;30691;2019.837;2;94.96162693;68.677;68.57304619;65.78112803;68.677;11985.09226
11;11/01/1984;30692;NA;;11/01/1984;30692;2084.418;2;94.96162693;68.677;68.56199859;65.49701721;68.677;12368.29608
12;12/01/1984;30693;NA;;12/01/1984;30693;2190.892;2;94.96162693;68.677;68.550951;65.22154882;68.677;13000.08009
13;13/01/1984;30694;NA;;13/01/1984;30694;2248.999;2;94.96162693;68.677;68.5399034;64.95502611;68.677;13344.86917
14;14/01/1984;30695;NA;;14/01/1984;30695;2182.635;2;94.96162693;68.677;68.5288558;64.69775233;68.677;12951.08558
15;15/01/1984;30696;NA;;15/01/1984;30696;2068.205;2;94.96162693;68.677;68.5178082;64.45003072;68.677;12272.09312
16;16/01/1984;30697;NA;;16/01/1984;30697;2019.837;2;94.96162693;68.677;68.50676061;64.21216453;68.677;11985.09226
17;17/01/1984;30698;NA;;17/01/1984;30698;1916.44;2;94.96162693;68.677;68.49571301;63.98445699;68.677;11371.56623
18;18/01/1984;30699;NA;;18/01/1984;30699;1727.442;2;94.96162693;68.677;68.48466541;63.76721135;68.677;10250.11016
19;19/01/1984;30700;NA;;19/01/1984;30700;1600.265;2;94.96162693;68.677;68.47361781;63.56073085;68.677;9495.480909
20;20/01/1984;30701;NA;;20/01/1984;30701;1531.731;2;94.96162693;68.677;68.46257021;63.36531874;68.677;9088.821206
21;21/01/1984;30702;NA;;21/01/1984;30702;1550.321;2;94.96162693;68.677;68.45152262;63.18127827;68.677;9199.128555
22;22/01/1984;30703;NA;;22/01/1984;30703;1575.226;2;94.96162693;68.677;68.44047502;63.00891267;68.677;9346.907175
23;23/01/1984;30704;NA;;23/01/1984;30704;1644.403;2;94.96162693;68.677;68.42942742;62.84852518;68.677;9757.382241
24;24/01/1984;30705;NA;;24/01/1984;30705;1714.577;2;94.96162693;68.677;68.41837982;62.70041906;68.677;10173.7732
25;25/01/1984;30706;NA;;25/01/1984;30706;1695.34;2;94.96162693;68.677;68.40733223;62.56489755;68.677;10059.62675
26;26/01/1984;30707;NA;;26/01/1984;30707;1772.724;2;94.96162693;68.677;68.39628463;62.44226388;68.677;10518.79964
27;27/01/1984;30708;NA;;27/01/1984;30708;1727.442;2;94.96162693;68.677;68.38523703;62.33282131;68.677;10250.11016
28;28/01/1984;30709;NA;;28/01/1984;30709;1779.225;2;94.96162693;68.677;68.37418943;62.23687308;68.677;10557.37457
29;29/01/1984;30710;NA;;29/01/1984;30710;1971.875;2;94.96162693;68.677;68.36314183;62.15472242;68.677;11700.50049
30;30/01/1984;30711;NA;;30/01/1984;30711;2108.822;2;94.96162693;68.677;68.35209424;62.0866726;68.677;12513.10192
31;31/01/1984;30712;NA;;31/01/1984;30712;2182.635;2;94.96162693;68.677;68.34104664;62.03302684;68.677;12951.08558
32;01/02/1984;30713;NA;;01/02/1984;30713;2003.804;2;94.96162693;68.677;68.32999904;61.99408839;68.677;11889.95737
33;02/02/1984;30714;NA;;02/02/1984;30714;1733.886;2;94.96162693;68.677;68.31895144;61.97016049;68.677;10288.34687
34;03/02/1984;30715;NA;;03/02/1984;30715;1562.757;2;94.96162693;68.677;68.30790384;61.9615464;68.677;9272.919959
35;04/02/1984;30716;NA;;04/02/1984;30716;1494.777;2;94.96162693;68.677;68.29685625;61.96854935;68.677;8869.547523
