Data;Qss_Aruana;Qss_Conceicao;Diferenca
01/01/1984;17451.93398;12855.50437;-4596.429614
02/01/1984;16910.68033;13251.87307;-3658.807253
03/01/1984;16482.04816;13564.17773;-2917.870433
04/01/1984;16163.14777;13834.66583;-2328.481948
05/01/1984;16322.31908;14107.73319;-2214.585891
06/01/1984;16269.20066;14383.37769;-1885.822973
07/01/1984;15741.39276;14708.22027;-1033.172486
08/01/1984;14296.75217;14989.44572;692.693543
09/01/1984;12755.76622;15258.11617;2502.349949
10/01/1984;11985.09226;15482.5764;3497.484139
11/01/1984;12368.29608;15708.51721;3340.221132
12/01/1984;13000.08009;16027.3159;3027.235813
13/01/1984;13344.86917;16210.7852;2865.916029
14/01/1984;12951.08558;16441.4472;3490.361615
15/01/1984;12272.09312;16627.03709;4354.943974
16/01/1984;11985.09226;16860.34449;4875.252227
17/01/1984;11371.56623;17001.03508;5629.468852
18/01/1984;10250.11016;17189.44318;6939.333023
19/01/1984;9495.480909;17331.36474;7835.883829
20/01/1984;9088.821206;17426.27067;8337.449465
21/01/1984;9199.128555;17521.41128;8322.282723
22/01/1984;9346.907175;17616.78656;8269.879383
23/01/1984;9757.382241;17616.78656;7859.404316
24/01/1984;10173.7732;17616.78656;7443.013358
25/01/1984;10059.62675;17712.39651;7652.769759
26/01/1984;10518.79964;17808.239;7289.439367
27/01/1984;10250.11016;17808.239;7558.128844
28/01/1984;10557.37457;17664.56167;7107.187095
29/01/1984;11700.50049;17664.56167;5964.061177
30/01/1984;12513.10192;17569.06905;5055.967133
31/01/1984;12951.08558;17473.81324;4522.727656
01/02/1984;11889.95737;17473.81324;5583.855873
02/02/1984;10288.34687;17331.36474;7043.017863
03/02/1984;9272.919959;17189.44318;7916.523222
04/02/1984;8869.547523;16954.07919;8084.531672
05/02/1984;8688.213871;16813.56567;8125.351804
06/02/1984;8760.593055;16627.03709;7866.444036
07/02/1984;9794.989986;16395.19746;6600.207478
08/02/1984;10250.11016;16349.00533;6098.895172
09/02/1984;9421.096136;16118.93215;6697.836012
10/02/1984;8724.379728;15844.78955;7120.409826
11/02/1984;8544.054804;15663.21043;7119.155629
12/02/1984;8472.280856;15437.56403;6965.283177
13/02/1984;8329.350064;15213.40034;6884.050274
14/02/1984;8833.179919;14989.44572;6156.265796
15/02/1984;10211.91498;14754.91162;4542.99664
16/02/1984;11231.61415;14568.57291;3336.958755
17/02/1984;10364.97458;14337.25809;3972.283509
18/02/1984;10173.7732;14291.2089;4117.435695
19/02/1984;10097.62612;14199.32811;4101.701986
20/02/1984;9309.892799;14107.73319;4797.840393
21/02/1984;8978.958884;14016.42415;5037.465267
22/02/1984;9757.382241;13925.40098;4168.018743
23/02/1984;10723.74345;13834.66583;3110.922374
24/02/1984;9794.989986;13744.21654;3949.226554
25/02/1984;8869.547523;13564.17773;4694.630204
26/02/1984;8472.280856;13474.5882;5002.307341
27/02/1984;8760.593055;13340.74365;4580.150595
28/02/1984;9162.309992;13207.54339;4045.233396
29/02/1984;8472.280856;13119.10375;4646.822899
01/03/1984;7975.636702;13119.10375;5143.467052
02/03/1984;7627.14499;13163.28837;5536.14338
03/03/1984;7870.539135;13074.99167;5204.452539
04/03/1984;9236.000522;13074.99167;3838.991152
05/03/1984;10173.7732;13074.99167;2901.218474
06/03/1984;9495.480909;12986.98085;3491.499944
07/03/1984;8436.47102;12943.08424;4506.613225
08/03/1984;7870.539135;12855.50437;4984.965232
09/03/1984;7940.550777;12855.50437;4914.953591
10/03/1984;8580.018916;12855.50437;4275.485452
11/03/1984;9458.264787;12855.50437;3397.23958
12/03/1984;11045.9667;12943.08424;1897.11754
13/03/1984;10135.67296;13030.95;2895.277037
14/03/1984;9983.776356;13030.95;3047.173639
15/03/1984;10861.42292;13119.10375;2257.68083
16/03/1984;11418.3534;13207.54339;1789.18999
17/03/1984;11747.76829;13474.5882;1726.81991
18/03/1984;12755.76622;13654.05313;898.2869109
19/03/1984;12032.75762;13834.66583;1801.908207
20/03/1984;12176.15717;13970.8763;1794.719128
21/03/1984;12128.29007;14199.32811;2071.038034
22/03/1984;10677.98875;14522.1653;3844.176554
23/03/1984;9794.989986;14801.6755;5006.685514
24/03/1984;9383.980887;15036.56801;5652.58712
25/03/1984;9757.382241;15213.40034;5456.018097
26/03/1984;10677.98875;15392.61353;4714.624785
27/03/1984;12513.10192;15617.96126;3104.859339
28/03/1984;13792.86298;15799.3057;2006.442725
29/03/1984;13098.2649;15935.93432;2837.669423
30/03/1984;11795.09542;16210.7852;4415.689782
31/03/1984;10815.46054;16720.18298;5904.72244
01/04/1984;10557.37457;16954.07919;6396.704623
02/04/1984;12561.50305;17189.44318;4627.940131
03/04/1984;14296.75217;17473.81324;3177.061068
04/04/1984;15323.61331;17569.06905;2245.455737
05/04/1984;16322.31908;17664.56167;1342.242584
06/04/1984;16749.48563;17952.43902;1202.953391
07/04/1984;16375.50277;18485.67101;2110.168244
08/04/1984;15375.62213;18927.18649;3551.564363
09/04/1984;13742.82415;19323.5936;5580.769452
10/04/1984;13246.03165;19373.4061;6127.374443
11/04/1984;13443.96778;19523.18706;6079.219279
12/04/1984;12902.15635;19623.33259;6721.17624
13/04/1984;11795.09542;19673.4907;7878.395277
14/04/1984;10769.56936;19824.31489;9054.745525
15/04/1984;9908.11584;20178.26115;10270.14531
16/04/1984;9272.919959;20483.89257;11210.97261
17/04/1984;8905.968529;20586.23336;11680.26483
18/04/1984;8616.030498;20637.48803;12021.45753
19/04/1984;8365.005624;20843.08484;12478.07922
20/04/1984;8400.714587;21049.60541;12648.89082
21/04/1984;8580.018916;21257.0412;12677.02229
22/04/1984;8436.47102;21361.10577;12924.63475
23/04/1984;8365.005624;21517.63251;13152.62689
24/04/1984;7905.518254;21674.67339;13769.15514
25/04/1984;7523.631719;21937.55596;14413.92424
26/04/1984;7283.952066;22201.86577;14917.9137
27/04/1984;6979.672299;22467.60921;15487.93691
28/04/1984;6879.226748;22574.30638;15695.07964
29/04/1984;7182.040892;22627.74137;15445.70048
30/04/1984;6946.135068;22627.74137;15681.6063
01/05/1984;6779.267759;22574.30638;15795.03862
02/05/1984;7013.262934;22467.60921;15454.34627
03/05/1984;6912.651239;22307.99333;15395.34209
04/05/1984;6946.135068;22095.97075;15149.83568
05/05/1984;7454.883955;21779.65319;14324.76923
06/05/1984;7352.165799;21465.40075;14113.23495
07/05/1984;7046.912906;21101.37849;14054.46558
08/05/1984;6580.845072;20688.80029;14107.95522
09/05/1984;6351.887601;20381.78645;14029.89884
10/05/1984;6254.598774;19824.31489;13569.71611
11/05/1984;5997.663942;19273.83871;13276.17476
12/05/1984;5775.850638;18632.31803;12856.46739
13/05/1984;5650.370836;17952.43902;12302.06818
14/05/1984;5587.98399;17283.99924;11696.01525
15/05/1984;5556.873639;16720.18298;11163.30934
16/05/1984;5934.001352;16164.82774;10230.82639
17/05/1984;6417.021747;15482.5764;9065.554656
18/05/1984;6515.153159;14989.44572;8474.292557
19/05/1984;6580.845072;14475.83236;7894.98729
20/05/1984;6093.58802;13970.8763;7877.28828
21/05/1984;5807.36448;13564.17773;7756.813246
22/05/1984;5744.390199;13074.99167;7330.601476
23/05/1984;5681.653265;12637.81337;6956.16011
24/05/1984;5402.223803;12207.8246;6805.600792
25/05/1984;5157.8684;11701.33676;6543.46836
26/05/1984;4977.128117;11246.17399;6269.045876
27/05/1984;4947.216372;10839.9661;5892.749726
28/05/1984;4857.843091;10520.19885;5662.35576
29/05/1984;4798.571434;10165.99658;5367.425142
30/05/1984;4739.548991;9894.561252;5155.012261
31/05/1984;4651.469255;9626.675887;4975.206632
01/06/1984;4651.469255;9287.473468;4636.004213
02/06/1984;4534.907794;8990.900424;4455.99263
03/06/1984;4477.000886;8698.980301;4221.979415
04/06/1984;4448.145338;8411.719499;3963.574161
05/06/1984;4390.618186;8164.19093;3773.572744
06/06/1984;4304.799187;7920.235787;3615.4366
07/06/1984;4247.906941;7679.858338;3431.951397
08/06/1984;4191.269843;7476.672255;3285.402412
09/06/1984;4191.269843;7276.118774;3084.848931
10/06/1984;4152.22895;6997.549437;2845.320487
11/06/1984;4113.29624;6695.966653;2582.670413
12/06/1984;4074.47182;6404.373936;2329.902116
13/06/1984;4008.085289;6181.765284;2173.679995
14/06/1984;3969.611882;5936.513997;1966.902115
15/06/1984;3931.247523;5698.930271;1767.682748
16/06/1984;3865.812709;5496.14738;1630.334671
17/06/1984;3800.832912;5272.613892;1471.780979
18/06/1984;3763.084709;5082.099128;1319.014419
19/06/1984;3725.44684;4910.318953;1184.872112
20/06/1984;3687.919453;4694.995779;1007.076326
21/06/1984;3624.163754;4487.530884;863.3671306
22/06/1984;3587.00037;4287.701002;700.7006322
23/06/1984;3549.954053;4095.288844;545.3347915
24/06/1984;3513.024914;3910.077925;397.0530114
25/06/1984;3476.201732;3788.076734;311.8750027
26/06/1984;3413.942198;3669.455522;255.5133238
27/06/1984;3377.498677;3527.407921;149.9092442
28/06/1984;3341.167724;3390.108131;48.94040635
29/06/1984;3304.955123;3257.43438;-47.52074283
30/06/1984;3293.816996;3153.620152;-140.1968446
01/07/1984;3282.560241;3029.077573;-253.4826677
02/07/1984;3246.392913;2908.818807;-337.5741063
03/07/1984;3234.980289;2792.727093;-442.253196
04/07/1984;3198.889822;2702.262438;-496.6273836
05/07/1984;3162.917213;2635.59412;-527.3230931
06/07/1984;3127.062595;2549.89063;-577.1719659
