;Date_excel;CSS;Fonte;Data;Data_excel;Vazao;NivelConsistencia;CSS_na_mean;CSS_na_interpolation;CSS_kalman;CSS_spline;CSS_stine;Qss
1;01/01/1984;NA;NA;01/01/1984;01/01/1984;6025.861;2;27.07405016;24.692;24.69455381;24.692;24.692;12855.50437
2;02/01/1984;NA;NA;02/01/1984;02/01/1984;6211.654;2;27.07405016;24.692;24.69757424;20.88349804;24.692;13251.87307
3;03/01/1984;NA;NA;03/01/1984;03/01/1984;6358.043;2;27.07405016;24.692;24.70059468;17.18557684;24.692;13564.17773
4;04/01/1984;NA;NA;04/01/1984;04/01/1984;6484.831;2;27.07405016;24.692;24.70361511;13.59701865;24.692;13834.66583
5;05/01/1984;NA;NA;05/01/1984;05/01/1984;6612.828;2;27.07405016;24.692;24.70663554;10.11660569;24.692;14107.73319
6;06/01/1984;NA;NA;06/01/1984;06/01/1984;6742.033;2;27.07405016;24.692;24.70965598;6.743120171;24.692;14383.37769
7;07/01/1984;NA;NA;07/01/1984;07/01/1984;6894.299;2;27.07405016;24.692;24.71267641;3.475344332;24.692;14708.22027
8;08/01/1984;NA;NA;08/01/1984;08/01/1984;7026.12;2;27.07405016;24.692;24.71569685;0.312060397;24.692;14989.44572
9;09/01/1984;NA;NA;09/01/1984;09/01/1984;7152.056;2;27.07405016;24.692;24.71871728;-2.747949408;24.692;15258.11617
10;10/01/1984;NA;NA;10/01/1984;10/01/1984;7257.269;2;27.07405016;24.692;24.72173771;-5.705902859;24.692;15482.5764
11;11/01/1984;NA;NA;11/01/1984;11/01/1984;7363.176;2;27.07405016;24.692;24.72475815;-8.563017728;24.692;15708.51721
12;12/01/1984;NA;NA;12/01/1984;12/01/1984;7512.609;2;27.07405016;24.692;24.72777858;-11.32051179;24.692;16027.3159
13;13/01/1984;NA;NA;13/01/1984;13/01/1984;7598.608;2;27.07405016;24.692;24.73079902;-13.97960282;24.692;16210.7852
14;14/01/1984;NA;NA;14/01/1984;14/01/1984;7706.728;2;27.07405016;24.692;24.73381945;-16.54150859;24.692;16441.4472
15;15/01/1984;NA;NA;15/01/1984;15/01/1984;7793.721;2;27.07405016;24.692;24.73683988;-19.00744687;24.692;16627.03709
16;16/01/1984;NA;NA;16/01/1984;16/01/1984;7903.081;2;27.07405016;24.692;24.73986032;-21.37863545;24.692;16860.34449
17;17/01/1984;NA;NA;17/01/1984;17/01/1984;7969.028;2;27.07405016;24.692;24.74288075;-23.65629208;24.692;17001.03508
18;18/01/1984;NA;NA;18/01/1984;18/01/1984;8057.342;2;27.07405016;24.692;24.74590119;-25.84163456;24.692;17189.44318
19;19/01/1984;NA;NA;19/01/1984;19/01/1984;8123.866;2;27.07405016;24.692;24.74892162;-27.93588064;24.692;17331.36474
20;20/01/1984;NA;NA;20/01/1984;20/01/1984;8168.352;2;27.07405016;24.692;24.75194205;-29.94024811;24.692;17426.27067
21;21/01/1984;NA;NA;21/01/1984;21/01/1984;8212.948;2;27.07405016;24.692;24.75496249;-31.85595474;24.692;17521.41128
22;22/01/1984;NA;NA;22/01/1984;22/01/1984;8257.654;2;27.07405016;24.692;24.75798292;-33.6842183;24.692;17616.78656
23;23/01/1984;NA;NA;23/01/1984;23/01/1984;8257.654;2;27.07405016;24.692;24.76100336;-35.42625657;24.692;17616.78656
24;24/01/1984;NA;NA;24/01/1984;24/01/1984;8257.654;2;27.07405016;24.692;24.76402379;-37.08328732;24.692;17616.78656
25;25/01/1984;NA;NA;25/01/1984;25/01/1984;8302.47;2;27.07405016;24.692;24.76704422;-38.65652832;24.692;17712.39651
26;26/01/1984;NA;NA;26/01/1984;26/01/1984;8347.395;2;27.07405016;24.692;24.77006466;-40.14719736;24.692;17808.239
27;27/01/1984;NA;NA;27/01/1984;27/01/1984;8347.395;2;27.07405016;24.692;24.77308509;-41.55651219;24.692;17808.239
28;28/01/1984;NA;NA;28/01/1984;28/01/1984;8280.048;2;27.07405016;24.692;24.77610553;-42.8856906;24.692;17664.56167
29;29/01/1984;NA;NA;29/01/1984;29/01/1984;8280.048;2;27.07405016;24.692;24.77912596;-44.13595037;24.692;17664.56167
30;30/01/1984;NA;NA;30/01/1984;30/01/1984;8235.287;2;27.07405016;24.692;24.78214639;-45.30850926;24.692;17569.06905
31;31/01/1984;NA;NA;31/01/1984;31/01/1984;8190.637;2;27.07405016;24.692;24.78516683;-46.40458504;24.692;17473.81324
32;01/02/1984;NA;NA;01/02/1984;01/02/1984;8190.637;2;27.07405016;24.692;24.78818726;-47.42539551;24.692;17473.81324
33;02/02/1984;NA;NA;02/02/1984;02/02/1984;8123.866;2;27.07405016;24.692;24.7912077;-48.37215841;24.692;17331.36474
34;03/02/1984;NA;NA;03/02/1984;03/02/1984;8057.342;2;27.07405016;24.692;24.79422813;-49.24609154;24.692;17189.44318
35;04/02/1984;NA;NA;04/02/1984;04/02/1984;7947.018;2;27.07405016;24.692;24.79724856;-50.04841267;24.692;16954.07919
36;05/02/1984;NA;NA;05/02/1984;05/02/1984;7881.154;2;27.07405016;24.692;24.800269;-50.78033956;24.692;16813.56567
37;06/02/1984;NA;NA;06/02/1984;06/02/1984;7793.721;2;27.07405016;24.692;24.80328943;-51.44309;24.692;16627.03709
38;07/02/1984;NA;NA;07/02/1984;07/02/1984;7685.049;2;27.07405016;24.692;24.80630987;-52.03788175;24.692;16395.19746
39;08/02/1984;NA;NA;08/02/1984;08/02/1984;7663.397;2;27.07405016;24.692;24.8093303;-52.56593259;24.692;16349.00533
40;09/02/1984;NA;NA;09/02/1984;09/02/1984;7555.553;2;27.07405016;24.692;24.81235073;-53.0284603;24.692;16118.93215
41;10/02/1984;NA;NA;10/02/1984;10/02/1984;7427.052;2;27.07405016;24.692;24.81537117;-53.42668265;24.692;15844.78955
