Date;Q_24700000;Q_24850000;Q_25200000;Q_25950000;Q_26350000;Q_27500000;Q_28300000;Q_26800000;Q_26710000
1969-09-01;;;;;;;525.438;;
1969-09-02;;;;;;;525.438;;
1969-09-03;;;;;;;510.995;;
1969-09-04;;;;;;;496.749;;
1969-09-05;;;;;;;489.701;;
1969-09-06;;;;;;;482.702;;
1969-09-07;;;;;;;468.852;;
1969-09-08;;;;;;;462.001;;
1969-09-09;;;;;;;455.2;;
1969-09-10;;;;;;;441.747;;
1969-09-11;;;;;;;428.492;;
1969-09-12;;;;;;;415.435;;
1969-09-13;;;;;;;415.435;;
1969-09-14;;;;;;;415.435;;
1969-09-15;;;;;;;415.435;;
1969-09-16;;;;;;;402.577;;
1969-09-17;;;;;;;389.917;;
1969-09-18;;;;;;;389.917;;
1969-09-19;;;;;;;383.661;;
1969-09-20;;;;;;;377.456;;
1969-09-21;;;;;;;371.3;;
1969-09-22;;;;;;;365.193;;
1969-09-23;;;;;;;371.3;;
1969-09-24;;;;;;;383.661;;
1969-09-25;;;;;;;448.449;;
1969-09-26;;;;;;;496.749;;
1969-09-27;;;;;;;489.701;;
1969-09-28;;;;;;;462.001;;
1969-09-29;;;;;;;455.2;;
1969-09-30;;;;;;;455.2;;
1969-10-01;;;;;;724.163;455.2;;
1969-10-02;;;;;;724.163;448.449;;
1969-10-03;;;;;;724.163;441.747;;
1969-10-04;;;;;;724.163;428.492;;
1969-10-05;;;;;;724.163;421.938;;
1969-10-06;;;;;;724.163;408.981;;
1969-10-07;;;;;;724.163;396.222;;
1969-10-08;;;;;;724.163;383.661;;
1969-10-09;;;;;;749.85;371.3;;
1969-10-10;;;;;;741.226;389.917;;
1969-10-11;;;;;;741.226;402.577;;
1969-10-12;;;;;;741.226;415.435;;
1969-10-13;;;;;;741.226;415.435;;
1969-10-14;;;;;;741.226;415.435;;
1969-10-15;;;;;;724.163;415.435;;
1969-10-16;;;;;;724.163;428.492;;
1969-10-17;;;;;;724.163;462.001;;
1969-10-18;;;;;;741.226;475.752;;
